Player,Team,Year Signed,Length of Contract,Value,APY,Guaranteed Money,APY as % of Salary Cap,Inflated Value,Inflated APY,Inflated Guaranteed
Holton Ahlers,Seahawks,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Max Duggan,Chargers,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Dresser Winn,Rams,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
EJ Perry,Jaguars,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Chris Oladokun,Chiefs,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Ian Book,Patriots,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Shane Buechele,Bills,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Nathan Rourke,Jaguars,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Malik Cunningham,Patriots,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Jake Fromm,Commanders,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Ben DiNucci,Broncos,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Kellen Mond,Colts,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Jake Luton,Panthers,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Alex McGough,Packers,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Jacob Eason,Giants,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Tanner Morgan,Vikings,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Drew Plitt,Bengals,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Tommy DeVito,Giants,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Anthony Brown,Ravens,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Bailey Zappe,Patriots,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Reid Sinnett,Bengals,2023,1,"216,000.00","216,000.00",0.00,0.00,"245,402.00","245,402.00",0.00
Reid Sinnett,Bengals,2023,1,"228,333.00","228,333.00",0.00,0.00,"259,414.00","259,414.00",0.00
Jake Luton,Panthers,2023,1,"236,111.00","236,111.00",0.00,0.00,"268,251.00","268,251.00",0.00
Tommy DeVito,Giants,2023,1,"245,667.00","245,667.00",0.00,0.00,"279,107.00","279,107.00",0.00
Chris Oladokun,Chiefs,2023,1,"245,667.00","245,667.00",0.00,0.00,"279,107.00","279,107.00",0.00
Ben DiNucci,Broncos,2023,1,"252,333.00","252,333.00",0.00,0.00,"286,681.00","286,681.00",0.00
Tommy DeVito,Giants,2023,1,"275,334.00","275,334.00",0.00,0.00,"312,813.00","312,813.00",0.00
Ben DiNucci,Broncos,2023,1,"288,666.00","288,666.00",0.00,0.00,"327,960.00","327,960.00",0.00
A.J. McCarron,Bengals,2023,1,"289,800.00","289,800.00",0.00,0.00,"329,248.00","329,248.00",0.00
Will Grier,Patriots,2023,1,"289,800.00","289,800.00",0.00,0.00,"329,248.00","329,248.00",0.00
Sean Mannion,Vikings,2023,1,"289,800.00","289,800.00",0.00,0.00,"329,248.00","329,248.00",0.00
Matt Barkley,Giants,2023,1,"289,800.00","289,800.00",0.00,0.00,"329,248.00","329,248.00",0.00
Trace McSorley,CHI/PIT,2023,1,"289,800.00","289,800.00",0.00,0.00,"329,248.00","329,248.00",0.00
Tommy DeVito,Giants,2023,1,"305,001.00","305,001.00",0.00,0.00,"346,518.00","346,518.00",0.00
